admin_rolle;entra_group_name;connector_group;target_type;fqdn;ip_address;cidr_range;ip_range_start;ip_range_end;protocol;ports;source_reference;review_status;needs_clarification;review_comment
Datenbank-Administratoren;EIT_PA_Admin_INS_Infrastrukturdienste_Datenbanken;Office-Gersthofen;fqdn;sql01.n.edeka.net;;;;;tcp;1433;10.61.215.0/24 bis 10.61.215.255 / sql01;approved;no;FQDN statt FQDN+IP
Datenbank-Administratoren;EIT_PA_Admin_INS_Infrastrukturdienste_Datenbanken;Office-Gersthofen;ipRangeCidr;;;10.61.216.0/24;;;tcp;1521;10.61.216.0/24;approved;no;
Datenbank-Administratoren;EIT_PA_Admin_INS_Infrastrukturdienste_Datenbanken;Office-Gersthofen;ipRange;;;;10.0.3.10;10.0.3.20;tcp;5985;10.0.3.10-10.0.3.20;approved;no;
Waagensysteme;EIT_PA_Admin_EH_Kasse und Waage_Kassenprozesse und Hardware_Waagensysteme;Office-Gersthofen;fqdn;mettlerno01-eh-p.nord-gh.edekanet.de;;;;;tcp;3389;mettlerno01-eh-p.nord-gh.edekanet.de / 10.x.x.x;approved;no;IP nur im source_reference
Waagensysteme;EIT_PA_Admin_EH_Kasse und Waage_Kassenprozesse und Hardware_Waagensysteme;Office-Gersthofen;ipAddress;;192.168.178.42;;;;tcp;3389;192.168.178.42;approved;no;nur wenn kein FQDN
Medientechnik;EIT_PA_Admin_DAIS_Digitaler Arbeitsplatz Verwaltung_Medientechnik;Office-Gersthofen;fqdn;viwsw-ts02.sw.edeka.net;;;;;tcp;3389;viwsw-ts02.sw.edeka.net (10.80.0.74);approved;no;
Datenbank-Administratoren;EIT_PA_Admin_INS_Infrastrukturdienste_Datenbanken;Office-Gersthofen;ipRangeCidr;;;10.61.215.0/24;;;both;389;10.61.215.0/24 Port 389 Protokoll TCP/UDP;approved;no;both = tcp+udp automatisch
Medientechnik;EIT_PA_Admin_DAIS_Digitaler Arbeitsplatz Verwaltung_Medientechnik;Office-Gersthofen;fqdn;viwsw-ts02.sw.edeka.net;;;;;udp;5900-5905;5900 - 5905 nur UDP;approved;no;Port-Bereich mit Bindestrich
Microsoft-Systeme_WindowsServer_Admin;EIT_PA_Admin_INS_Infrastrukturdienste_Microsoft-Systeme_WindowsServer;Office-Gersthofen;ipAddress;;10.251.9.155;;;;both;443,4431,6443,21,22,83;10.251.9.155/157/159 + Ports aus Firewall;approved;no;mehrere Ports kommagetrennt in einer Zeile
Microsoft-Systeme_WindowsServer_Admin;EIT_PA_Admin_INS_Infrastrukturdienste_Microsoft-Systeme_WindowsServer;Office-Gersthofen;ipAddress;;10.251.9.157;;;;both;443,4431,6443,21,22,83;gleiche Ports zweites System;approved;no;mehrere IPs = eine Zeile pro IP gleiche ports
SCM-Admin;EIT_PA_Admin_SCM;Office-Gersthofen;ipRangeCidr;;;10.57.10.0/24;;;tcp;;10.57.10.0/24 Server Netz;needs_clarification;yes;Port unklar
Druckermanagement-Admin;EIT_PA_Admin_DAIS_Digitaler Arbeitsplatz Verwaltung_Druckmanagement;Office-Gersthofen;fqdn;ipam.rs.edeka.net;;;;;tcp;;https://ipam.rs.edeka.net/ui/;needs_clarification;yes;Port fehlt
